+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----+-------+------+
|                                                                                                       description                                                                                                        | day | month | year |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----+-------+------+
| Credit card fraud took place at 00:53. Two people witnessed the event.                                                                                                                                                   | 1   | 1     | 2021 |
| Burglary took place at 05:23. Two people witnessed the event.                                                                                                                                                            | 1   | 1     | 2021 |
| Shoplifting took place at 20:48. Two people witnessed the event.                                                                                                                                                         | 1   | 1     | 2021 |
| Jaywalking took place at 23:37. Two people witnessed the event.                                                                                                                                                          | 1   | 1     | 2021 |
| Jaywalking took place at 20:33. One person witnessed the incident.                                                                                                                                                       | 2   | 1     | 2021 |
| Insider trading took place at 19:32. Two people witnessed the event.                                                                                                                                                     | 3   | 1     | 2021 |
| Theft took place at 20:49. No known witnesses.                                                                                                                                                                           | 3   | 1     | 2021 |
| Bank robbery took place at 10:32. No known witnesses.                                                                                                                                                                    | 4   | 1     | 2021 |
| Money laundering took place at 05:26. No known witnesses.                                                                                                                                                                | 4   | 1     | 2021 |
| Insider trading took place at 05:13. Two people witnessed the event.                                                                                                                                                     | 5   | 1     | 2021 |
| Credit card fraud took place at 21:35. Two people witnessed the event.                                                                                                                                                   | 5   | 1     | 2021 |
| Littering took place at 04:18. No known witnesses.                                                                                                                                                                       | 5   | 1     | 2021 |
| Reckless driving took place at 07:18. No known witnesses.                                                                                                                                                                | 6   | 1     | 2021 |
| Insider trading took place at 11:35. No known witnesses.                                                                                                                                                                 | 6   | 1     | 2021 |
| Shoplifting took place at 11:42. One person witnessed the incident.                                                                                                                                                      | 7   | 1     | 2021 |
| Credit card fraud took place at 14:47. Two people witnessed the event.                                                                                                                                                   | 7   | 1     | 2021 |
| Credit card fraud took place at 03:14. Two people witnessed the event.                                                                                                                                                   | 7   | 1     | 2021 |
| Jaywalking took place at 10:04. Two people witnessed the event.                                                                                                                                                          | 8   | 1     | 2021 |
| Bank robbery took place at 15:30. Two people witnessed the event.                                                                                                                                                        | 8   | 1     | 2021 |
| Credit card fraud took place at 13:40. No known witnesses.                                                                                                                                                               | 8   | 1     | 2021 |
| Expired parking meter took place at 01:53. No known witnesses.                                                                                                                                                           | 9   | 1     | 2021 |
| Theft took place at 16:16. One person witnessed the incident.                                                                                                                                                            | 10  | 1     | 2021 |
| Theft took place at 01:15. Two people witnessed the event.                                                                                                                                                               | 10  | 1     | 2021 |
| Shoplifting took place at 13:23. No known witnesses.                                                                                                                                                                     | 11  | 1     | 2021 |
| Wire fraud took place at 10:38. One person witnessed the incident.                                                                                                                                                       | 11  | 1     | 2021 |
| Forgery took place at 23:28. Two people witnessed the event.                                                                                                                                                             | 11  | 1     | 2021 |
| Theft took place at 16:51. Two people witnessed the event.                                                                                                                                                               | 12  | 1     | 2021 |
| Burglary took place at 12:57. One person witnessed the incident.                                                                                                                                                         | 12  | 1     | 2021 |
| Credit card fraud took place at 11:12. No known witnesses.                                                                                                                                                               | 13  | 1     | 2021 |
| Expired parking meter took place at 22:55. One person witnessed the incident.                                                                                                                                            | 13  | 1     | 2021 |
| Vandalism took place at 16:41. No known witnesses.                                                                                                                                                                       | 16  | 1     | 2021 |
| Insider trading took place at 23:24. Two people witnessed the event.                                                                                                                                                     | 17  | 1     | 2021 |
| Littering took place at 05:46. One person witnessed the incident.                                                                                                                                                        | 17  | 1     | 2021 |
| Reckless driving took place at 00:52. One person witnessed the incident.                                                                                                                                                 | 17  | 1     | 2021 |
| Money laundering took place at 22:49. Two people witnessed the event.                                                                                                                                                    | 17  | 1     | 2021 |
| Jaywalking took place at 21:38. One person witnessed the incident.                                                                                                                                                       | 17  | 1     | 2021 |
| Vandalism took place at 04:51. One person witnessed the incident.                                                                                                                                                        | 17  | 1     | 2021 |
| Wire fraud took place at 10:31. One person witnessed the incident.                                                                                                                                                       | 20  | 1     | 2021 |
| Burglary took place at 02:22. Two people witnessed the event.                                                                                                                                                            | 20  | 1     | 2021 |
| Shoplifting took place at 22:02. Two people witnessed the event.                                                                                                                                                         | 21  | 1     | 2021 |
| Wire fraud took place at 15:42. One person witnessed the incident.                                                                                                                                                       | 22  | 1     | 2021 |
| Expired parking meter took place at 09:47. One person witnessed the incident.                                                                                                                                            | 23  | 1     | 2021 |
| Burglary took place at 10:53. Two people witnessed the event.                                                                                                                                                            | 24  | 1     | 2021 |
| Jaywalking took place at 08:53. Two people witnessed the event.                                                                                                                                                          | 25  | 1     | 2021 |
| Money laundering took place at 19:53. One person witnessed the incident.                                                                                                                                                 | 27  | 1     | 2021 |
| Forgery took place at 05:50. One person witnessed the incident.                                                                                                                                                          | 27  | 1     | 2021 |
| Bank robbery took place at 09:43. One person witnessed the incident.                                                                                                                                                     | 28  | 1     | 2021 |
| Bank robbery took place at 09:13. No known witnesses.                                                                                                                                                                    | 28  | 1     | 2021 |
| Theft took place at 03:25. No known witnesses.                                                                                                                                                                           | 1   | 2     | 2021 |
| Money laundering took place at 15:48. One person witnessed the incident.                                                                                                                                                 | 1   | 2     | 2021 |
| Insider trading took place at 08:46. Two people witnessed the event.                                                                                                                                                     | 2   | 2     | 2021 |
| Wire fraud took place at 23:32. One person witnessed the incident.                                                                                                                                                       | 4   | 2     | 2021 |
| Vandalism took place at 07:57. One person witnessed the incident.                                                                                                                                                        | 4   | 2     | 2021 |
| Credit card fraud took place at 07:43. One person witnessed the incident.                                                                                                                                                | 4   | 2     | 2021 |
| Expired parking meter took place at 02:26. Two people witnessed the event.                                                                                                                                               | 4   | 2     | 2021 |
| Money laundering took place at 23:18. No known witnesses.                                                                                                                                                                | 4   | 2     | 2021 |
| Jaywalking took place at 21:43. One person witnessed the incident.                                                                                                                                                       | 5   | 2     | 2021 |
| Expired parking meter took place at 03:21. One person witnessed the incident.                                                                                                                                            | 5   | 2     | 2021 |
| Littering took place at 20:58. No known witnesses.                                                                                                                                                                       | 6   | 2     | 2021 |
| Forgery took place at 12:24. One person witnessed the incident.                                                                                                                                                          | 6   | 2     | 2021 |
| Expired parking meter took place at 06:30. No known witnesses.                                                                                                                                                           | 7   | 2     | 2021 |
| Insider trading took place at 05:43. Two people witnessed the event.                                                                                                                                                     | 8   | 2     | 2021 |
| Littering took place at 05:09. One person witnessed the incident.                                                                                                                                                        | 8   | 2     | 2021 |
| Vandalism took place at 18:19. No known witnesses.                                                                                                                                                                       | 9   | 2     | 2021 |
| Insider trading took place at 13:14. No known witnesses.                                                                                                                                                                 | 11  | 2     | 2021 |
| Vandalism took place at 18:15. Two people witnessed the event.                                                                                                                                                           | 12  | 2     | 2021 |
| Money laundering took place at 12:35. One person witnessed the incident.                                                                                                                                                 | 14  | 2     | 2021 |
| Bank robbery took place at 08:49. Two people witnessed the event.                                                                                                                                                        | 15  | 2     | 2021 |
| Bank robbery took place at 21:41. No known witnesses.                                                                                                                                                                    | 16  | 2     | 2021 |
| Shoplifting took place at 10:27. Two people witnessed the event.                                                                                                                                                         | 17  | 2     | 2021 |
| Theft took place at 11:54. Two people witnessed the event.                                                                                                                                                               | 19  | 2     | 2021 |
| Jaywalking took place at 01:40. Two people witnessed the event.                                                                                                                                                          | 19  | 2     | 2021 |
| Wire fraud took place at 04:55. No known witnesses.                                                                                                                                                                      | 20  | 2     | 2021 |
| Wire fraud took place at 18:37. No known witnesses.                                                                                                                                                                      | 20  | 2     | 2021 |
| Credit card fraud took place at 01:32. Two people witnessed the event.                                                                                                                                                   | 22  | 2     | 2021 |
| Shoplifting took place at 06:11. Two people witnessed the event.                                                                                                                                                         | 22  | 2     | 2021 |
| Credit card fraud took place at 12:26. No known witnesses.                                                                                                                                                               | 22  | 2     | 2021 |
| Burglary took place at 13:08. Two people witnessed the event.                                                                                                                                                            | 25  | 2     | 2021 |
| Bank robbery took place at 04:05. One person witnessed the incident.                                                                                                                                                     | 25  | 2     | 2021 |
| Theft took place at 03:11. Two people witnessed the event.                                                                                                                                                               | 26  | 2     | 2021 |
| Insider trading took place at 14:06. One person witnessed the incident.                                                                                                                                                  | 26  | 2     | 2021 |
| Money laundering took place at 17:54. Two people witnessed the event.                                                                                                                                                    | 27  | 2     | 2021 |
| Reckless driving took place at 22:02. No known witnesses.                                                                                                                                                                | 28  | 2     | 2021 |
| Forgery took place at 21:34. One person witnessed the incident.                                                                                                                                                          | 28  | 2     | 2021 |
| Wire fraud took place at 01:22. No known witnesses.                                                                                                                                                                      | 28  | 2     | 2021 |
| Insider trading took place at 17:19. One person witnessed the incident.                                                                                                                                                  | 1   | 3     | 2021 |
| Littering took place at 07:40. One person witnessed the incident.                                                                                                                                                        | 2   | 3     | 2021 |
| Credit card fraud took place at 22:11. No known witnesses.                                                                                                                                                               | 2   | 3     | 2021 |
| Reckless driving took place at 21:04. No known witnesses.                                                                                                                                                                | 4   | 3     | 2021 |
| Wire fraud took place at 11:48. Two people witnessed the event.                                                                                                                                                          | 4   | 3     | 2021 |
| Bank robbery took place at 07:46. One person witnessed the incident.                                                                                                                                                     | 5   | 3     | 2021 |
| Forgery took place at 21:10. No known witnesses.                                                                                                                                                                         | 5   | 3     | 2021 |
